bait,prey_gene,prey_uniprot,MIST,BFDR,AvgSpec,FoldChange,Complex
E,SLC44A2,Q8IWA5,0.950342834,0.0,2.67,26.67,NaN
E,ZC3H18,Q86VM9,0.796415039,0.0,2.67,26.67,NaN
E,CWC27,Q6UX04,0.89310916,0.03,2.67,26.67,NaN
E,BRD2,P25440,0.906592876,0.0,7.0,70.0,NaN
E,BRD4,O60885,0.97848835,0.0,2.67,26.67,NaN
E,AP3B1,O00203,0.963550095,0.0,4.67,46.67,NaN
M,BZW2,Q9Y6E2,0.756364362,0.0,2.33,23.33,NaN
M,AAR2,Q9Y312,0.801486724,0.0,4.33,43.33,NaN
M,AKAP8L,Q9ULX6,0.751981385,0.0,4.67,46.67,NaN
M,AASS,Q9UDR5,0.765109504,0.0,3.0,30.0,NaN
M,FAM8A1,Q9UBU6,0.80448832,0.0,2.33,23.33,NaN
M,RTN4,Q9NQC3,0.873826097,0.0,10.67,106.67,NaN
M,TARS2,Q9BW92,0.758110505,0.0,2.67,26.67,NaN
M,TUBGCP2,Q9BSJ2,0.83958055,0.0,13.0,130.0,NaN
M,SLC25A21,Q9BQT8,0.880779937,0.05,2.0,20.0,NaN
M,INTS4,Q96HW7,0.943304706,0.05,2.67,26.67,NaN
M,REEP6,Q96HR9,0.955657163,0.05,2.33,23.33,NaN
M,SAAL1,Q96ER3,0.769472929,0.0,3.33,33.33,NaN
M,COQ8B,Q96D53,0.80074032,0.0,3.33,33.33,NaN
M,TUBGCP3,Q96CW5,0.753607002,0.0,7.67,76.67,NaN
M,SLC30A7,Q8NEW0,0.766972437,0.0,4.67,46.67,NaN
M,FASTKD5,Q7L8L6,0.758365887,0.0,7.33,73.33,NaN
M,SLC30A9,Q6PML9,0.886323242,0.05,2.0,20.0,NaN
M,PITRM1,Q5JRX3,0.952308232,0.0,7.0,70.0,NaN
M,ANO6,Q4KMQ2,0.993904419,0.0,9.33,93.33,NaN
M,PMPCA,Q10713,0.991059815,0.0,9.33,93.33,NaN
M,REEP5,Q00765,0.913088507,0.0,10.67,106.67,NaN
M,PSMD8,P48556,0.881424779,0.05,2.0,20.0,NaN
M,ATP6V1A,P38606,0.794938493,0.05,2.67,26.67,NaN
M,GGCX,P38435,0.789966998,0.01,2.0,20.0,NaN
M,STOM,P27105,0.752971772,0.0,3.0,30.0,NaN
M,ETFA,P13804,0.718398295,0.0,2.33,23.33,NaN
M,ACADM,P11310,0.724348569,0.0,2.67,26.67,NaN
M,ATP1B1,P05026,0.817625601,0.0,3.67,36.67,NaN
M,YIF1A,O95070,0.856000835,0.0,2.33,23.33,NaN
M,PMPCB,O75439,0.985120198,0.0,9.67,96.67,NaN
N,RPL36,Q9Y3U8,0.631167513,0.0,6.33,34.83,NaN
N,RBM28,Q9NW13,0.628043125,0.0,10.0,100.0,NaN
N,DDX21,Q9NR30,0.613544528,0.0,36.67,28.81,NaN
N,G3BP2,Q9UN86,0.958133672,0.0,35.33,194.33,NaN
N,MOV10,Q9HCE1,0.736672944,0.0,3.33,33.33,NaN
N,UPF1,Q92900,0.753067271,0.0,5.67,56.67,NaN
N,SNIP1,Q8TAD8,0.818230245,0.0,6.67,66.67,NaN
N,FAM98A,Q8NCA5,0.921076719,0.0,3.67,36.67,NaN
N,LARP1,Q6PKG0,0.73787466,0.0,8.67,86.67,NaN
N,PABPC4,Q13310,0.846200046,0.0,10.0,100.0,NaN
N,G3BP1,Q13283,0.95331626,0.0,54.67,150.33,NaN
N,CSNK2B,P67870,0.803607895,0.0,2.33,23.33,NaN
N,CSNK2A2,P19784,0.875048268,0.0,7.0,70.0,NaN
N,PABPC1,P11940,0.736635929,0.0,7.33,73.33,NaN
N,RRP9,O43818,0.861168798,0.0,13.0,130.0,NaN
Spike,ZDHHC5,Q9C0B5,0.982389013,0.0,6.0,60.0,NaN
Spike,GOLGA7,Q7Z5G4,0.978892719,0.05,2.0,20.0,NaN
Nsp1,PKP2,Q99959,0.964585351,0.0,43.0,430.0,NaN
Nsp1,COLGALT1,Q8NBJ5,0.794123974,0.0,7.33,73.33,NaN
Nsp1,POLA2,Q14181,0.943678488,0.03,4.0,40.0,NaN
Nsp1,PRIM2,P49643,0.993975192,0.0,4.67,46.67,NaN
Nsp1,PRIM1,P49642,0.981268688,0.0,3.33,33.33,NaN
Nsp1,POLA1,P09884,0.981264591,0.0,3.33,33.33,NaN
