query,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
E,GO_Biological_Process_2023,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),2/175,0.0011158174682495,0.023606856922199,0,0,57.286127167630056,389.44071582831896,SLC44A2;BRD4
E,GO_Biological_Process_2023,Choline Transport (GO:0015871),1/6,0.0017988408901478,0.023606856922199,0,0,799.56,5053.709147518722,SLC44A2
E,GO_Biological_Process_2023,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),2/232,0.0019489123647551,0.023606856922199,0,0,42.96521739130435,268.1237441112172,SLC44A2;BRD4
E,GO_Biological_Process_2023,Amine Transport (GO:0015837),1/7,0.0020983872819732,0.023606856922199,0,0,666.2666666666667,4108.590825691207,SLC44A2
E,GO_Biological_Process_2023,Quaternary Ammonium Group Transport (GO:0015697),1/12,0.0035949984464796,0.0305895551323871,0,0,363.3272727272727,2044.8828145385055,SLC44A2
E,GO_Biological_Process_2023,Melanosome Assembly (GO:1903232),1/18,0.0053884659389882,0.0305895551323871,0,0,235.0235294117647,1227.644124299904,AP3B1
E,GO_Biological_Process_2023,Regulation Of Transcription Involved In G1/S Transition Of Mitotic Cell Cycle (GO:0000083),1/19,0.0056871157389833,0.0305895551323871,0,0,221.95555555555555,1147.4107993095174,BRD4
E,GO_Biological_Process_2023,Phosphatidylcholine Biosynthetic Process (GO:0006656),1/19,0.0056871157389833,0.0305895551323871,0,0,221.95555555555555,1147.4107993095174,SLC44A2
E,GO_Biological_Process_2023,Platelet Dense Granule Organization (GO:0060155),1/22,0.0065826171479286,0.0305895551323871,0,0,190.2190476190476,955.5316921910462,AP3B1
E,GO_Biological_Process_2023,Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751),1/24,0.0071792448741713,0.0305895551323871,0,0,173.66086956521738,857.2874884567655,BRD4
E,GO_Biological_Process_2023,Secretory Granule Organization (GO:0033363),1/25,0.007477446810139,0.0305895551323871,0,0,166.41666666666666,814.7533474976135,AP3B1
E,GO_Biological_Process_2023,Melanosome Organization (GO:0032438),1/37,0.0110500548998867,0.0331501646996603,0,0,110.87777777777778,499.5398567734965,AP3B1
E,GO_Biological_Process_2023,Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),1/35,0.0104553652553503,0.0331501646996603,0,0,117.41176470588236,535.4727918518732,BRD4
E,GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),2/525,0.0096180011820467,0.0331501646996603,0,0,18.61472275334608,86.44898414182373,SLC44A2;BRD4
