bait,candidate_gene,n_edges_to_known_preys,max_string_score,connected_to,already_interacts_with_other_baits
E,BRD9,3,0.917,AP3B1;BRD2;BRD4,
E,JMJD6,2,0.999,BRD2;BRD4,
E,NSD3,2,0.999,BRD2;BRD4,
E,DEFB1,2,0.984,BRD2;BRD4,
E,NUTM1,2,0.981,BRD2;BRD4,
E,BRDT,2,0.946,BRD2;BRD4,
E,BICRA,2,0.927,BRD2;BRD4,
E,ZMYND8,2,0.772,BRD2;BRD4,
E,PWWP2B,2,0.762,BRD2;BRD4,
E,FAM90A1,2,0.698,BRD2;BRD4,
M,MYOM2,10,0.594,AKAP8L;ANO6;COQ8B;GGCX;PITRM1;REEP5;STOM;TARS2;TUBGCP2;TUBGCP3,
M,TMEM33,4,0.684,FAM8A1;REEP5;RTN4;SLC30A9,
M,TUBGCP6,3,0.999,ACADM;TUBGCP2;TUBGCP3,
M,RTN3,3,0.993,REEP5;REEP6;RTN4,
M,ATL3,3,0.896,REEP5;REEP6;RTN4,
M,ATL1,3,0.842,REEP5;REEP6;RTN4,
M,TUBGCP5,2,0.999,TUBGCP2;TUBGCP3,
M,MZT2A,2,0.99,TUBGCP2;TUBGCP3,
M,MZT2B,2,0.976,TUBGCP2;TUBGCP3,
M,FAM241A,2,0.763,REEP5;RTN4,
N,DDX6,10,0.962,DDX21;FAM98A;G3BP1;G3BP2;LARP1;MOV10;PABPC1;PABPC4;RPL36;UPF1,
N,STAU1,9,0.987,DDX21;G3BP1;G3BP2;LARP1;MOV10;PABPC1;PABPC4;RBM28;UPF1,
N,FXR1,9,0.95,DDX21;FAM98A;G3BP1;G3BP2;LARP1;MOV10;PABPC1;PABPC4;UPF1,
N,DCP1A,8,0.994,G3BP1;G3BP2;LARP1;MOV10;PABPC1;PABPC4;RPL36;UPF1,
N,CAPRIN1,7,0.999,G3BP1;G3BP2;LARP1;MOV10;PABPC1;PABPC4;UPF1,
N,ATXN2,7,0.998,FAM98A;G3BP1;G3BP2;LARP1;PABPC1;PABPC4;UPF1,
N,ATXN2L,7,0.917,FAM98A;G3BP1;G3BP2;LARP1;PABPC1;PABPC4;UPF1,
N,FAM120A,7,0.741,G3BP1;G3BP2;LARP1;MOV10;PABPC1;PABPC4;UPF1,
N,LARP4B,6,0.984,G3BP1;G3BP2;LARP1;PABPC1;PABPC4;RPL36,Nsp12
N,NUFIP2,5,0.938,FAM98A;G3BP1;G3BP2;PABPC4;RPL36,
Nsp1,POLE4,4,0.985,POLA1;POLA2;PRIM1;PRIM2,
Nsp1,CTC1,4,0.983,POLA1;POLA2;PRIM1;PRIM2,
Nsp1,STN1,4,0.978,POLA1;POLA2;PRIM1;PRIM2,
Nsp1,DONSON,4,0.97,POLA1;POLA2;PRIM1;PRIM2,
Nsp1,TEN1,4,0.957,POLA1;POLA2;PRIM1;PRIM2,
Nsp1,RPA4,4,0.942,POLA1;POLA2;PRIM1;PRIM2,
Nsp1,POLG2,4,0.925,POLA1;POLA2;PRIM1;PRIM2,
Nsp1,CHRAC1,4,0.92,POLA1;POLA2;PRIM1;PRIM2,
Nsp1,CRCP,4,0.91,POLA1;POLA2;PRIM1;PRIM2,
Nsp1,POLD4,4,0.741,POLA1;POLA2;PRIM1;PRIM2,
Nsp10,NECAP1,2,0.995,AP2A2;AP2M1,
Nsp10,NECAP2,2,0.97,AP2A2;AP2M1,
Nsp10,AP3S1,2,0.954,AP2A2;AP2M1,
Nsp10,AP4S1,2,0.926,AP2A2;AP2M1,
Nsp10,AP3S2,2,0.923,AP2A2;AP2M1,
Nsp10,AP5Z1,2,0.915,AP2A2;AP2M1,
Nsp10,AFTPH,2,0.908,AP2A2;AP2M1,
Nsp10,AP5B1,2,0.906,AP2A2;AP2M1,
Nsp10,AP5S1,2,0.905,AP2A2;AP2M1,
Nsp10,AP3M2,2,0.792,AP2A2;AP2M1,
Nsp12,G3BP1,5,0.948,LARP4B;PRRC2B;UBAP2;UBAP2L;ZC3H7A,N
Nsp12,G3BP2,4,0.891,LARP4B;PRRC2B;UBAP2;UBAP2L,N
Nsp12,CAPRIN1,4,0.834,LARP4B;PRRC2B;UBAP2;UBAP2L,
Nsp12,CDC40,3,0.999,PPIL3;RBM41;SLU7,
Nsp12,PRRC2C,3,0.915,UBAP2;UBAP2L;ZC3H7A,
Nsp12,H7C0V5_HUMAN,3,0.603,PRRC2B;SBNO1;UBAP2L,
Nsp12,CCDC12,2,0.841,PPIL3;SLU7,
Nsp12,MAP3K13,2,0.604,MYCBP2;RIPK1,
Nsp12,MAP3K12,2,0.586,MYCBP2;RIPK1,
Nsp12,GINM1,2,0.42,PDZD11;PLEKHA5,
Nsp13,PLK1,15,0.973,AKAP9;CDK5RAP2;CENPF;CEP135;CEP250;CEP68;CNTRL;GOLGA2;GOLGB1;GORASP1;NIN;NINL;PCNT;PRKACA;PRKAR2B,
